"Title","TesdaId","CatalogPage","Status","File","Error"
"Consumer Electronics Servicing NC III","193","11","Downloaded","Consumer Electronics Servicing NC III.pdf",""
"Mechatronics Servicing NC II","195","28","Downloaded","Mechatronics Servicing NC II.pdf",""
"Contact Center Services NC II","196","11","Downloaded","Contact Center Services NC II.pdf",""
"Food Processing NC III","199","17","Downloaded","Food Processing NC III.pdf",""
"Gas Tungsten Arc Welding (GTAW) NC IV","202","19","Downloaded","Gas Tungsten Arc Welding (GTAW) NC IV.pdf",""
"Plumbing NC I","203","31","Downloaded","Plumbing NC I.pdf",""
"Plumbing NC III","204","31","Downloaded","Plumbing NC III.pdf",""
"Emergency Medical Services NC II","205","15","Downloaded","Emergency Medical Services NC II.pdf",""
"Flux-Cored Arc Welding (FCAW) NC III","206","16","Downloaded","Flux-Cored Arc Welding (FCAW) NC III.pdf",""
"Shielded Metal Arc Welding (SMAW) NC IV (Superseded)","208","35","Downloaded","Shielded Metal Arc Welding (SMAW) NC IV (Superseded).pdf",""
"Gas Metal Arc Welding (GMAW) NC III","207","19","Downloaded","Gas Metal Arc Welding (GMAW) NC III.pdf",""
"Ice Plant Refrigeration Servicing NC III","209","24","Downloaded","Ice Plant Refrigeration Servicing NC III.pdf",""
"Heavy Equipment Servicing (Mechanical) NC II","211","24","Downloaded","Heavy Equipment Servicing (Mechanical) NC II.pdf",""
"Shielded Metal Arc Welding (SMAW) NC II (Superseded)","216","35","Downloaded","Shielded Metal Arc Welding (SMAW) NC II (Superseded).pdf",""
"Flux-Cored Arc Welding (FCAW) NC II","219","16","Downloaded","Flux-Cored Arc Welding (FCAW) NC II.pdf",""
"Fishport/Wharf Operation NC I","233","16","Downloaded","Fishport Wharf Operation NC I.pdf",""
"Air Duct Servicing NC II","210","2","Downloaded","Air Duct Servicing NC II.pdf",""
"Foundry Melting/Casting NC II","234","18","Downloaded","Foundry Melting Casting NC II.pdf",""
"Foundry Molding NC II","235","18","Downloaded","Foundry Molding NC II.pdf",""
"Heavy Equipment Operation (Screed) NC I","236","23","Downloaded","Heavy Equipment Operation (Screed) NC I.pdf",""
"Heavy Equipment Operation (Articulated Off-Highway Dump Truck) NC II","237","21","Downloaded","Heavy Equipment Operation (Articulated Off-Highway Dump Truck) NC II.pdf",""
"Heavy Equipment Operation (Concrete Pump) NC II","238","21","Downloaded","Heavy Equipment Operation (Concrete Pump) NC II.pdf",""
"Heavy Equipment Operation (Paver) NC II","239","22","Downloaded","Heavy Equipment Operation (Paver) NC II.pdf",""
